Keyword                 Rule
-------                 ----
accept_on               style_keyword_space
alias                   style_keyword_space
always                  style_keyword_space
always_comb             style_keyword_space
always_ff               style_keyword_space
always_latch            style_keyword_space
and                     style_keyword_space
assert                  style_keyword_space
assign                  style_keyword_space
assume                  style_keyword_space
automatic               style_keyword_space
before                  style_keyword_space
begin                   style_keyword_namedblock_nospace
bind                    style_keyword_space
bins                    style_keyword_space
binsof                  style_keyword_space
bit                     style_keyword_space
break                   style_keyword_nospace
buf                     style_keyword_space
bufif0                  style_keyword_space
bufif1                  style_keyword_space
byte                    style_keyword_space
case                    style_keyword_space
casex                   style_keyword_space
casez                   style_keyword_space
cell                    style_keyword_space
chandle                 style_keyword_space
checker                 style_keyword_space
class                   style_keyword_space
clocking                style_keyword_space
cmos                    style_keyword_space
config                  style_keyword_space
const                   style_keyword_space
constraint              style_keyword_space
context                 style_keyword_space
continue                style_keyword_nospace
cover                   style_keyword_space
covergroup              style_keyword_space
coverpoint              style_keyword_space
cross                   style_keyword_space
deassign                style_keyword_space
default                 style_keyword_nospace
defparam                style_keyword_space
design                  style_keyword_space
disable                 style_keyword_space
dist                    style_keyword_space
do                      style_keyword_space
edge                    style_keyword_space
else                    style_keyword_block_nospace
end                     style_keyword_namedblock_nospace
endcase                 style_keyword_block_nospace
endchecker              style_keyword_namedblock_nospace
endclass                style_keyword_namedblock_nospace
endclocking             style_keyword_namedblock_nospace
endconfig               style_keyword_namedblock_nospace
endfunction             style_keyword_namedblock_nospace
endgenerate             style_keyword_block_nospace
endgroup                style_keyword_namedblock_nospace
endinterface            style_keyword_namedblock_nospace
endmodule               style_keyword_namedblock_nospace
endpackage              style_keyword_namedblock_nospace
endprimitive            style_keyword_namedblock_nospace
endprogram              style_keyword_namedblock_nospace
endproperty             style_keyword_namedblock_nospace
endspecify              style_keyword_block_nospace
endsequence             style_keyword_namedblock_nospace
endtable                style_keyword_block_nospace
endtask                 style_keyword_namedblock_nospace
enum                    style_keyword_space
event                   style_keyword_space
eventually              style_keyword_space
expect                  style_keyword_space
export                  style_keyword_space
extends                 style_keyword_space
extern                  style_keyword_space
final                   style_keyword_block_nospace
first_match             style_keyword_space
for                     style_keyword_space
force                   style_keyword_space
foreach                 style_keyword_space
forever                 style_keyword_space
fork                    style_keyword_block_nospace
forkjoin                style_keyword_space
function                style_keyword_space
generate                style_keyword_block_nospace
genvar                  style_keyword_space
global                  style_keyword_space
highz0                  style_keyword_space
highz1                  style_keyword_space
if                      style_keyword_space
iff                     style_keyword_space
ifnone                  style_keyword_space
